Idiom,Sense,Idiomatic_Sent,Literal_Sent
затаить дыхание,"замереть от восторга, ужаса, ожидая чего-либо с нетерпением","Скажу вам честно, я затаив дыхание следил за крымским референдумом","Скажу вам честно, я с трепетом следил за крымским референдумом"
затянуть пояса,начать сильно экономить из-за нехватки средств,"Президент Бразилии Дилма Русеф обратилась к своим согражданам с предложением «затянуть пояса», сообщает в понедельник, 9 марта, Reuters","Президент Бразилии Дилма Русеф обратилась к своим согражданам с предложением сократить расходы, сообщает в понедельник, 9 марта, Reuters"
затянуть пояса,начать сильно экономить из-за нехватки средств,"В нижней палате парламента не исключили, что затянуть пояса придется в 2016-м, то есть на год раньше запланированного Минфином срока","В нижней палате парламента не исключили, что в 2016‑м придётся сократить расходы, то есть на год раньше запланированного Минфином срока"
затянуть пояса,начать сильно экономить из-за нехватки средств,"В исследовании Deloitte Global Powers of Luxury Goods говорится, что средний класс вынужден был «затянуть пояса» на фоне непростой экономической ситуации","В исследовании Deloitte Global Powers of Luxury Goods говорится, что средний класс вынужден был начать экономить на фоне непростой экономической ситуации"
затянуть пояса,начать сильно экономить из-за нехватки средств,"Ранее, 4 июля, о необходимости «затянуть пояса» россиян предупредило Минэкономразвития","Ранее, 4 июля, о необходимости перейти к экономии россиян предупредило Минэкономразвития"
затянуть пояса,начать сильно экономить из-за нехватки средств,"Израильские СМИ и общество в этот раз были особенно раздражены поступком премьера, поскольку кровать за 127 тысяч долларов была установлена в тот момент, когда правительство объявило согражданам, что им снова придется «затянуть пояса потуже»","Израильские СМИ и общество в этот раз были особенно раздражены поступком премьера, поскольку кровать за 127 тысяч долларов была установлена в тот момент, когда правительство объявило согражданам, что им снова придется начать экономить"
злые языки,"сплетники, клеветники","Злые языки даже называли это кольцо «Сапфир черни», намекая на неблагородное происхождение Дианы","Негативно настроенные люди даже называли это кольцо «Сапфир черни», намекая на неблагородное происхождение Дианы"
злые языки,"сплетники, клеветники","Злые языки утверждают, что это у нас последний МАКС в Жуковском","Недоброжелатели утверждают, что это у нас последний МАКС в Жуковском"
злые языки,"сплетники, клеветники","Представитель автодилера информацию о конфликте опроверг, предположив, что «это какие-то злые языки конкурентов»","Представитель автодилера информацию о конфликте опроверг, предположив, что «это какие‑то негативные высказывания конкурентов»"
играть в кошки-мышки,"хитрить, стараясь обмануть, провести кого-либо","После того как иракские власти поиграли в кошки-мышки с каналом ""Аль-Джазира"", сначала запретив работу его корреспондентов, а потом вновь разрешив ее, нападение на офис канала совершили американские силы","После того как иракские власти действовали противоречиво с каналом «Аль-Джазира», сначала запретив работу его корреспондентов, а потом вновь разрешив её, нападение на офис канала совершили американские силы"
играть в поддавки,"поддаваться, делать уступки, идти на компромисс","По неофициальной информации, команды специально играли в поддавки, чтобы не выйти в следующий раунд Кубка Индонезии, где их соперником должен был стать «Борнео», тесно связанный с местными мафиози","По неофициальной информации, команды специально уступали, чтобы не выйти в следующий раунд Кубка Индонезии, где их соперником должен был стать «Борнео», тесно связанный с местными мафиози"
играть на публику,"вести себя демонстративно с рассчетом на внешний эффект, одобрение или внимание окружающих","Он как бы выходит в политический ринг, но от реальной схватки уклоняется, играя на публику","Он как бы выходит в политический ринг, но от реальной схватки уклоняется, пытаясь произвести хорошее впечатление на публику"
играть на публику,"вести себя демонстративно с рассчетом на внешний эффект, одобрение или внимание окружающих","Вице-премьер, министр внутренней политики, информации и связи Республики Крым Дмитрий Полонский заявил, что Украина сможет считаться состоявшимся государством, когда киевские власти перестанут играть на публику и начнут решать реальные проблемы граждан","Вице‑премьер, министр внутренней политики, информации и связи Республики Крым Дмитрий Полонский заявил, что Украина сможет считаться состоявшимся государством, когда киевские власти перестанут делать показные действия перед общественностью и начнут решать реальные проблемы граждан"
играть на публику,"вести себя демонстративно с рассчетом на внешний эффект, одобрение или внимание окружающих","Мы не играли на публику, мы были в своем гармоничном мире и наслаждались жизнью","Мы не пытались произвести впечатление на публику, мы были в своём гармоничном мире и наслаждались жизнью"
играть на публику,"вести себя демонстративно с рассчетом на внешний эффект, одобрение или внимание окружающих","Анна Позднякова в твиттере написала, что Удальцов ""оч нагло себя ведет, притащил поддержки полный зал, играет на публику!""","Анна Позднякова в твиттере написала, что Удальцов «оч нагло себя ведет, притащил поддержки полный зал, ведет себя демонстративно!»"
играть с огнем,действовать слишком рискованно,"Когда ты говоришь о семье, религии или нации, то играешь с огнем","Когда ты говоришь о семье, религии или нации, то рискуешь"
играть с огнем,действовать слишком рискованно,"Мы с фактами на столе через наше министерство обороны, через министерство иностранных дел четко и жестко предупредили наших западных партнеров, чтобы они не играли с огнем","Мы с фактами на столе через наше министерство обороны, через министерство иностранных дел четко и жестко предупредили наших западных партнёров, чтобы они не совершали опрометчивых действий"
играть с огнем,действовать слишком рискованно,"До этого Рухани заявлял, что американскому лидеру не следует играть с огнем, и что тот не вправе подстрекать иранцев","До этого Рухани заявлял, что американскому лидеру не следует рисковать, и что тот не вправе подстрекать иранцев"
идти на поводу,беспрекословно подчиняться чужой воле,"26 апреля Bloomberg со ссылкой на источники сообщило, что основной владелец «Русала», бизнесмен Олег Дерипаска, решил не идти на поводу США и не отказываться от контроля над российской компанией","26 апреля Bloomberg со ссылкой на источники сообщило, что основной владелец «Русала», бизнесмен Олег Дерипаска, решил не подчиняться требованиям США и не отказываться от контроля над российской компанией"
идти на поводу,беспрекословно подчиняться чужой воле,"В полиции местных жителей призвали быть предусмотрительными и «не идти на поводу людей, призывающих к противоправной деятельности, которые хотят разжечь межнациональную рознь и при этом используют религиозную составляющую","В полиции местных жителей призвали быть предусмотрительными и «не поддаваться людям, призывающим к противоправной деятельности, которые хотят разжечь межнациональную рознь и при этом используют религиозную составляющую»"
идти на поводу,беспрекословно подчиняться чужой воле,Не идите на поводу у закулисных кукловодов,Не поддавайтесь влиянию закулисных кукловодов
идти на поводу,беспрекословно подчиняться чужой воле,Людей предупреждают «не идти на поводу у своих желаний»,Людей предупреждают «не поддаваться своим желаниям»
идти по стопам,"следовать примеру кого-либо, подражать","Тогда же СМИ сообщили, что Лили-Роуз пошла по стопам отца, решив стать актрисой","Тогда же СМИ сообщили, что Лили-Роуз решила повторить за отцом, став актрисой"
идти по стопам,"следовать примеру кого-либо, подражать",Она пошла по стопам семьи Боба Марли (бренд Marley Natural) и рэпера Снуп Дога (Leafs by Snoop),Она последовала примеру семьи Боба Марли (бренд Marley Natural) и рэпера Снуп Дога (Leafs by Snoop)
идти по стопам,"следовать примеру кого-либо, подражать","По его словам, премьер-министр страны Нарендра Моди «не понимает, что нужно людям», а этот поступок должен убедить главу правительства не идти по стопам Гитлера, передает телеканал Sky News","По его словам, премьер‑министр страны Нарендра Моди «не понимает, что нужно людям», а этот поступок должен убедить главу правительства не повторять действия Гитлера, передаёт телеканал Sky News"
идти по стопам,"следовать примеру кого-либо, подражать","Представители Skyscanner отшутились, посоветовав Ллойду не идти по стопам героя фильма «Терминал» и провести время за пределами аэропорта","Представители Skyscanner отшутились, посоветовав Ллойду не следовать примеру героя фильма «Терминал» и провести время за пределами аэропорта"
из кожи вон лезть,"стараться изо всех сил, проявлять усердие, делать всё возможное для достижения поставленной цели","Зачем спортивную общественность возбуждать? Зачем обижать тех тренеров, которые и так из кожи вон лезут?","Зачем спортивную общественность возбуждать? Зачем обижать тех тренеров, которые и так прилагают огромные усилия?"
из кожи вон лезть,"стараться изо всех сил, проявлять усердие, делать всё возможное для достижения поставленной цели","Российские телеканалы и сайты из кожи вон лезли, чтоб не скрывать несправедливое судилище над Савченко","Российские телеканалы и сайты прилагали огромные усилия, чтобы не скрывать несправедливое судилище над Савченко"
из кожи вон лезть,"стараться изо всех сил, проявлять усердие, делать всё возможное для достижения поставленной цели","12 января Кадыров на встрече с журналистами в Грозном заявил, что внесистемная оппозиция — это люди, «о которых раньше никто ничего не слышал, из кожи вон лезут, чтобы прославиться тем, что противопоставляют себя президенту России Владимиру Путину»","12 января Кадыров на встрече с журналистами в Грозном заявил, что внесистемная оппозиция — это люди, «о которых раньше никто ничего не слышал, прикладывают колоссальные усилия, чтобы прославиться тем, что противопоставляют себя президенту России Владимиру Путину»"
из кожи вон лезть,"стараться изо всех сил, проявлять усердие, делать всё возможное для достижения поставленной цели","2K из кожи вон лезло, чтобы он там обязательно появился, несмотря на то, что он бы ухудшил восприятие игры и навредил всему проекту в целом","2K прилагало огромные усилия, чтобы он там обязательно появился, несмотря на то, что он бы ухудшил восприятие игры и навредил всему проекту в целом"
из первых рук,непосредственно от кого-либо,Я знаю из первых рук о мучительных жертвах наших мужчин и женщин в военной форме,Я знаю на основе прямых свидетельств о мучительных жертвах наших мужчин и женщин в военной форме
из первых рук,непосредственно от кого-либо,"Он добавил, что существует масса вариантов развития ситуации, и «без знания конкретно этой истории из первых рук» более точно сказать ничего нельзя","Он добавил, что существует масса вариантов развития ситуации, и «без знания конкретно этой истории из первоисточника» более точно сказать ничего нельзя"
из первых рук,непосредственно от кого-либо,"Участники мастер-класса смогут из первых рук получить информацию о действующих на «дальневосточных гектарах» бизнес-проектах, возможностях по кооперации, а также новых решениях для освоения земельных участков и реализации произведенной на них продукции","Участники мастер-класса смогут от первых лиц получить информацию о действующих на «дальневосточных гектарах» бизнес-проектах, возможностях по кооперации, а также новых решениях для освоения земельных участков и реализации произведенной на них продукции"
из первых рук,непосредственно от кого-либо,"Наши люди работают на земле, и мы получаем информацию из первых рук, а не из социальных сетей и сайтов боевиков","Наши люди работают на земле, и мы получаем информацию из первоисточников, а не из социальных сетей и сайтов боевиков"
из первых уст,непосредственно от кого-либо,"Я не ожидала, что меня пригласят на открытие Всемирного дня шопинга в Шанхай, радость и волнение переполняют! Уверена, что от поездки не только будет масса приятных впечатлений о Китае, но и добавятся новые знания о том, как организована интернет-торговля, и конечно же, доставка отправлений из Китая, непосредственно из первых уст","Я не ожидала, что меня пригласят на открытие Всемирного дня шопинга в Шанхай, радость и волнение переполняют! Уверена, что от поездки не только будет масса приятных впечатлений о Китае, но и добавятся новые знания о том, как организована интернет‑торговля, и конечно же, доставка отправлений из Китая, напрямую от экспертов"
из первых уст,непосредственно от кого-либо,"В рамках программы Silver Mercury аудитории представится возможность услышать о том, как создаются их любимые фестивали из первых уст","В рамках программы Silver Mercury аудитории представится возможность услышать о том, как создаются их любимые фестивали из первоисточников"
из-под полы,"незаконно, тайком","«Продажи из-под полы теми же таксистами, рост употребления любых спиртосодержащих жидкостей, проблема контрафакта в условиях невозможности контролировать ситуацию в рамках цивилизованных условий торговли… И, как результат, увеличение количества правонарушений и алкогольных отравлений, дополнительная нагрузка на систему здравоохранения и расход бюджетных средств","«Продажи тайно теми же таксистами, рост употребления любых спиртосодержащих жидкостей, проблема контрафакта в условиях невозможности контролировать ситуацию в рамках цивилизованных условий торговли… И, как результат, увеличение количества правонарушений и алкогольных отравлений, дополнительная нагрузка на систему здравоохранения и расход бюджетных средств»"
из-под полы,"незаконно, тайком","Жидкость поступала в торговые точки без каких-либо документов и продавалась ""из-под полы"" для употребления в качестве алкогольного напитка",Жидкость поступала в торговые точки без каких-либо документов и продавалась нелегально для употребления в качестве алкогольного напитка
изо всех сил,на пределе своих возможностей,"Мужчина с трудом говорил, потому что изо всех сил боролся с сильным ветром и ливнем","Мужчина с трудом говорил, потому что активно боролся с сильным ветром и ливнем"
изо всех сил,на пределе своих возможностей,"Они закричали изо всех сил, чтобы напугать зверей, но медведица все равно бросилась на них","Они громко закричали, чтобы напугать зверей, но медведица всё равно бросилась на них"
испокон век,издревна,"«Россия — это часть Европы, собственно, испокон веков рассчитывала только на себя», — сказал официальный представитель Кремля, комментируя заявление немецкого политика","«Россия — это часть Европы, собственно, с древних времён рассчитывала только на себя», — сказал официальный представитель Кремля, комментируя заявление немецкого политика"
испокон век,издревна,"Испокон веков подлеца били по лицу, вызывали на дуэль","С древних времён подлеца били по лицу, вызывали на дуэль"
испокон век,издревна,В Чечне испокон веков чтили героев,В Чечне издревле чтили героев
испокон век,издревна,"Испокон веков считалось, что благодаря молитве, звучащей в ходе танца, мы восстанавливаем силы после суровой зимы","Издавна считалось, что благодаря молитве, звучащей в ходе танца, мы восстанавливаем силы после суровой зимы"
испустить дух,умереть,"Я впился зубами ему в шею и держал, пока он не испустил дух","Я впился зубами ему в шею и держал, пока он не умер"
как белка в колесе,"очень суетливо, активно, без остановки и отдыха","Наследники могут не захотеть вертеться, как белка в колесе, — пояснил Лебедев, добавив, что ""проще всего передавать наследство своим детям в виде наличных на счетах за рубежом, например, в швейцарских банках, и недвижимости""","Наследники могут не захотеть суетиться, — пояснил Лебедев, добавив, что ""проще всего передавать наследство своим детям в виде наличных на счетах за рубежом, например, в швейцарских банках, и недвижимости"""
как две капли воды,"идеально похожие друг на друга, внешне неотличимые","Сопоставив стоп-кадры из отснятого материала с архивными фото, выяснили: эти двое охранников, которые теперь сопровождают президента Петра Порошенко, как две капли воды похожи на тех, что охраняли бывшего президента беглого Виктора Януковича","Сопоставив стоп‑кадры из отснятого материала с архивными фото, выяснили: эти двое охранников, которые теперь сопровождают президента Петра Порошенко, неотличимы от тех, что охраняли бывшего президента беглого Виктора Януковича"
как две капли воды,"идеально похожие друг на друга, внешне неотличимые","Нагово-Мюнхгаузен заявил, что похож на своего знаменитого предка как две капли воды, и к тому же унаследовал его авантюрный характер и литературные способности","Нагово‑Мюнхгаузен заявил, что очень похож на своего знаменитого предка, и к тому же унаследовал его авантюрный характер и литературные способности"
как две капли воды,"идеально похожие друг на друга, внешне неотличимые","Как сообщает The Telegraph, 21-летний швед как две капли воды похож на молодого актера, когда тот снимался в «Титанике»","Как сообщает The Telegraph, 21‑летний швед очень похож на молодого актера, когда тот снимался в «Титанике»"
как две капли воды,"идеально похожие друг на друга, внешне неотличимые","Кашаму сумел убедить британских судей, что американцы перепутали его с покойным братом, на которого Буруджи якобы похож как две капли воды","Кашаму сумел убедить британских судей, что американцы перепутали его с покойным братом, на которого Буруджи якобы очень сильно похож"
как крысы с корабля,предательски бежать от опасности,Манчини убежал как крыса с корабля,Манчини убежал испуганно
как по маслу,"без помех, без затруднений, без осложнений","Все идет как по маслу, пока Майклу не предлагают взяться за некий грандиозный контракт сроком на три года, посулив в случае успеха колоссальный гонорар","Все идет без проблем, пока Майклу не предлагают взяться за некий грандиозный контракт сроком на три года, посулив в случае успеха колоссальный гонорар"
как по маслу,"без помех, без затруднений, без осложнений","Обобщив результаты, ученые установили, что те, кто проводит за видеоиграми меньше часа в день, чаще прочих отмечали, что всем довольны и социальная интеграция у них идет как по маслу","Обобщив результаты, учёные установили, что те, кто проводит за видеоиграми меньше часа в день, чаще прочих отмечали, что всем довольны, и социальная интеграция у них проходит без затруднений"
как по маслу,"без помех, без затруднений, без осложнений","Только небольшое количество продавцов оставляют отрицательные отзывы о своих покупателях, а большинство сделок ""идет как по маслу"", указали в администрации интернет-аукциона","Только небольшое количество продавцов оставляют отрицательные отзывы о своих покупателях, а большинство сделок проходит без проблем, указали в администрации интернет‑аукциона"
как по маслу,"без помех, без затруднений, без осложнений","Поэтому, когда он наконец-таки появился в арендованном съемочной группой кафе на Ломоносовском проспекте, все пошло как по маслу","Поэтому, когда он наконец-таки появился в арендованном съемочной группой кафе на Ломоносовском проспекте, все пошло слаженно"
как снежный ком,стремительно быстро и увеличиваясь в размерах,"По его словам, различные препятствия для Белоруссии на рынке ЕАЭС «нарастают, как снежный ком»","По его словам, различные препятствия для Белоруссии на рынке ЕАЭС стремительно нарастают"
как снежный ком,стремительно быстро и увеличиваясь в размерах,"Скинул одно видео в интернет, и с тех пор пошло-поехало, как снежный ком","Скинул одно видео в интернет, и с тех пор пошло‑поехало вовсю"
как снежный ком,стремительно быстро и увеличиваясь в размерах,В итоге размер откатов увеличивается и коррупция растет как снежный ком,В итоге размер откатов увеличивается и коррупция растет стремительно
как снежный ком,стремительно быстро и увеличиваясь в размерах,"Дальше получается, как снежный ком: ты привыкаешь к уколам и в итоге вообще перестаешь думать о том, что именно тебе колют","Дальше всё накапливается: ты привыкаешь к уколам и в итоге вообще перестаёшь думать о том, что именно тебе колют"
как собака на сене,кто-либо сам не пользуется чем-либо и другим не даёт пользоваться,"В спор Лужкова и Грефа вмешался премьер-министр Михаил Фрадков, попросив участников заседания не переходить в плоскость личных конфликтов и не вести себя ""как собака на сене""","В спор Лужкова и Грефа вмешался премьер‑министр Михаил Фрадков, попросив участников заседания не переходить в плоскость личных конфликтов и не саботировать друг друга"
как собака на сене,кто-либо сам не пользуется чем-либо и другим не даёт пользоваться,"Останемся, как собака на сене, на этом трубопроводе, — отмечал Янукович, имея в виду украинскую ГТС","Будем без пользы для себя удерживать этот трубопровод, — отмечал Янукович, имея в виду украинскую ГТС"
как стадо баранов,"беспорядочной толпой, бессмысленно","Председатель ""Справедливой России"" Николай Левичев, комментируя раскол в организации, заявил, что ей ""не нужны люди, которые пришли в 'СР' как стадо баранов""","Председатель «Справедливой России» Николай Левичев, комментируя раскол в организации, заявил, что ей «не нужны люди, которые пришли в «СР» бездумно"
как сыр в масле,"беспечно, беззаботно, богато, в благополучии","2 миллиона или 54 тысячи, я мать четырех детей и зарабатываю одна, и мы не то чтобы катаемся как сыр в масле","2 миллиона или 54 тысячи, я мать четырёх детей и зарабатываю одна, и мы не то чтобы живём в роскоши"
кануть в лету,бесследно и навсегда исчезнуть; быть навечно забытым,"Сегодня от этого ""культурного кода"" практически не осталось и следа, он канул в Лету","Сегодня от этого «культурного кода» практически не осталось и следа, он полностью исчез"
кануть в лету,бесследно и навсегда исчезнуть; быть навечно забытым,"Времена, когда церковь технический прогресс отрицала, давно канули в лету","Времена, когда церковь технический прогресс отрицала, давно прошли"
кануть в лету,бесследно и навсегда исчезнуть; быть навечно забытым,"На взгляд Пескова, авторы расследования «не гнушаются, сами выдумывают, подтасовывают» факты, а традиции качественных журналистских расследований канули в Лету","На взгляд Пескова, авторы расследования «не гнушаются, сами выдумывают, подтасовывают» факты, а традиции качественных журналистских расследований оказались утрачены"
кануть в лету,бесследно и навсегда исчезнуть; быть навечно забытым,"Эти палачи, которые убивали наших героев в прошлом веке, должны кануть в лету","Эти палачи, которые убивали наших героев в прошлом веке, должны быть забыты"
капля в море,очень маленькая часть чего-либо,"Как отметил Уокер, это капля в море по сравнению с общим объемом гуманитарной помощи — 22 миллиарда в американской валюте","Как отметил Уокер, это небольшая часть по сравнению с общим объёмом гуманитарной помощи — 22 миллиарда в американской валюте"
капля в море,очень маленькая часть чего-либо,"В настоящее время США закупают у России примерно 300 тысяч баррелей нефти и нефтепродуктов в день, причем закупки довольно сильно колеблются от месяца к месяцу — это капля в море, около двух-трех процентов от общего объема потребностей США в импорте и менее трех процентов от добычи нефти в России","В настоящее время США закупают у России примерно 300 тысяч баррелей нефти и нефтепродуктов в день, причем закупки довольно сильно колеблются от месяца к месяцу — это незначительная часть, около двух‑трёх процентов от общего объёма потребностей США в импорте и менее трёх процентов от добычи нефти в России"
капля в море,очень маленькая часть чего-либо,"Как отметил Саакашвили, возбуждение уголовного дела по факту хищений в Одесском припортовом заводе — «маленькая капля в море того», что, по его словам, похитило правительство Яценюка","Как отметил Саакашвили, возбуждение уголовного дела по факту хищений в Одесском припортовом заводе — лишь малая часть того, что, по его словам, похитило правительство Яценюка"
капля в море,очень маленькая часть чего-либо,"Специалист подчеркнул, что три пары правоохранительные органы уже нашли, но это «капля в море»","Специалист подчеркнул, что три пары правоохранительные органы уже нашли, но это лишь малая часть"
кнут и пряник,"метод воздействия на кого-либо, использующий щедрое поощрение желательного поведения и суровое наказание за нежелательное","«Тактика кнута и пряника, которой пытаются играть США, в отношении Китая бесполезна», — говорится в заявлении","«Тактика давления и поощрения, которой пытаются играть США, в отношении Китая бесполезна», — говорится в заявлении"
кнут и пряник,"метод воздействия на кого-либо, использующий щедрое поощрение желательного поведения и суровое наказание за нежелательное","BBC News отмечает, что британская ассоциация производителей фонограмм BPI положительно отнеслась к данным исследования однако отметила, что несмотря на интерес любителей файлообмена к легальным магазинам, в целом их расходы на лицензионную музыку невелики, и поэтому правообладатели находят рациональной политику ""кнута и пряника""","BBC News отмечает, что британская ассоциация производителей фонограмм BPI положительно отнеслась к данным исследования однако отметила, что несмотря на интерес любителей файлообмена к легальным магазинам, в целом их расходы на лицензионную музыку невелики, и поэтому правообладатели находят рациональной политику поощрения и наказания"
